trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
57,False,"{'a': 0.5, 'e': 0.9746452757206577}",20,0,-149.06919705183967,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
58,False,"{'a': 0.5, 'e': 0.7480575296890004}",30,0,-143.52800347083854,"{0: 20, 1: 5, 2: 2, 3: 0, 4: 3}",0
59,False,"{'a': 0.5, 'e': 0.3383192109710552}",25,0,-96.3267292446809,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
60,False,"{'a': 0.5, 'e': 0.15425144988758405}",25,12,-39.87372411655035,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
61,False,"{'a': 0.5, 'e': 0.6090559761063562}",25,0,-29.66996943903618,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.9147423578045313}",20,4,-44.767009128663105,"{0: 9, 1: 3, 2: 3, 3: 1, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.9964679075571249}",20,0,-108.20593647275022,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.8342233605065102}",20,9,-7.408296658240762,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.4677318402470736}",20,6,-3.981854185424071,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.013276747223059479}",30,14,16.316579312850113,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.49103472393024045}",25,0,-40.025056472848,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.8485702747846052}",25,0,-35.05330563126293,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.9983462274487422}",30,0,-170.37034830976478,"{0: 15, 1: 5, 2: 7, 3: 1, 4: 2}",0
